,GameId,Year,Round,Date,MaxTemp,MinTemp,Rainfall,Venue,StartTime,Attendance,HomeTeam,HomeTeamScoreQT,HomeTeamScoreHT,HomeTeamScore3QT,HomeTeamScoreFT,HomeTeamScore,AwayTeam,AwayTeamScoreQT,AwayTeamScoreHT,AwayTeamScore3QT,AwayTeamScoreFT,AwayTeamScore,longitude,latitude
0,2012R0101,2012,R1,24/3/2012,24.0,12.2,0.0,Stadium Australia,7:20 pm,"38,203",Greater Western Sydney,1.2,3.3,3.4,5.7,37,Sydney,4.1,8.4,13.8,14.16,100,153.091843,-30.324051
1,2012R0102,2012,R1,29/3/2012,25.7,9.7,0.0,M.C.G.,7:45 pm,"78,285",Richmond,3.4,5.6,10.7,12.9,81,Carlton,3.2,8.7,11.13,18.17,125,144.983032,-37.818439
2,2012R0103,2012,R1,30/3/2012,27.4,9.7,0.0,M.C.G.,7:50 pm,"78,466",Hawthorn,2.1,10.6,14.1,20.17,137,Collingwood,2.7,7.9,12.16,16.19,115,144.983032,-37.818439
3,2012R0104,2012,R1,31/3/2012,29.1,15.1,0.6,M.C.G.,1:45 pm,"33,473",Melbourne,3.3,7.4,8.8,11.12,78,Brisbane Lions,1.4,7.8,13.13,17.17,119,144.983032,-37.818439
4,2012R0105,2012,R1,31/3/2012,28.2,19.7,0.0,Carrara,3:45 pm,"12,790",Gold Coast,3.1,5.3,8.6,10.8,68,Adelaide,7.8,11.1,15.16,19.23,137,153.35075,-28.00514
5,2012R0106,2012,R1,31/3/2012,24.0,9.0,0.0,Subiaco,4:45 pm,"34,601",Fremantle,6.0,8.3,12.8,16.9,105,Geelong,4.0,9.2,12.7,15.11,101,115.82576,-31.94447
6,2012R0107,2012,R1,31/3/2012,29.1,15.1,0.6,Docklands,7:45 pm,"45,818",North Melbourne,4.3,8.5,10.1,15.12,102,Essendon,3.2,9.8,13.14,14.2,104,144.94846,-37.81835
7,2012R0108,2012,R1,1/4/2012,20.4,14.3,0.0,Docklands,1:10 pm,"24,977",Western Bulldogs,4.3,8.5,10.11,12.15,87,West Coast,6.2,10.6,16.9,21.1,136,144.94846,-37.81835
8,2012R0109,2012,R1,1/4/2012,24.3,11.8,0.0,Football Park,4:10 pm,"21,179",Port Adelaide,5.2,8.6,11.9,13.11,89,St Kilda,2.1,9.3,11.4,13.7,85,149.11195,-35.24852
9,2012R0201,2012,R2,5/4/2012,28.4,17.9,0.0,Gabba,7:40 pm,"25,913",Brisbane Lions,6.1,7.6,7.7,9.9,63,Carlton,5.5,10.9,16.1,23.16,154,145.6925,-36.2155
10,2012R0202,2012,R2,7/4/2012,19.8,9.0,3.6,Docklands,1:45 pm,"34,118",Essendon,5.2,10.6,11.13,16.15,111,Port Adelaide,5.2,7.3,12.5,13.8,86,144.94846,-37.81835
11,2012R0203,2012,R2,7/4/2012,27.4,18.2,0.0,S.C.G.,2:10 pm,"22,242",Sydney,4.4,9.7,11.9,14.1,94,Fremantle,2.2,3.3,9.4,12.9,81,149.11195,-35.24852
12,2012R0204,2012,R2,7/4/2012,29.9,11.5,0.0,Subiaco,2:40 pm,"35,674",West Coast,4.3,11.8,19.14,25.16,166,Melbourne,1.1,4.2,6.2,9.4,58,115.82576,-31.94447
13,2012R0205,2012,R2,7/4/2012,19.8,13.9,0.0,Football Park,7:10 pm,"34,021",Adelaide,4.4,7.8,7.11,11.16,82,Western Bulldogs,1.4,3.7,7.9,9.1,64,149.11195,-35.24852
14,2012R0206,2012,R2,7/4/2012,19.8,9.0,3.6,M.C.G.,7:40 pm,"57,268",Collingwood,2.8,5.1,11.12,12.13,85,Richmond,1.6,2.1,4.13,8.16,64,144.983032,-37.818439
15,2012R0207,2012,R2,8/4/2012,18.4,8.9,0.4,Bellerive Oval,1:10 pm,"11,127",North Melbourne,7.4,12.8,20.9,28.15,183,Greater Western Sydney,0.3,0.4,6.6,8.6,54,147.36785,-42.87477
16,2012R0208,2012,R2,8/4/2012,20.0,6.9,0.0,Docklands,4:40 pm,"21,078",St Kilda,5.2,8.7,15.1,21.13,139,Gold Coast,0.2,2.2,6.4,7.5,47,144.94846,-37.81835
17,2012R0209,2012,R2,9/4/2012,15.2,10.1,1.4,M.C.G.,3:10 pm,"69,231",Geelong,4.1,7.3,10.7,14.8,92,Hawthorn,3.4,8.6,13.7,13.12,90,144.983032,-37.818439
18,2012R0301,2012,R3,13/4/2012,24.8,8.0,0.4,M.C.G.,7:50 pm,"84,259",Carlton,7.1,9.7,15.11,18.14,122,Collingwood,3.2,6.3,8.6,9.8,62,144.983032,-37.818439
19,2012R0302,2012,R3,14/4/2012,24.8,13.1,0.0,M.C.G.,1:45 pm,"49,826",Richmond,4.4,6.8,15.11,20.13,133,Melbourne,2.3,5.6,6.6,11.8,74,144.983032,-37.818439
20,2012R0303,2012,R3,14/4/2012,27.9,10.8,0.0,Football Park,1:40 pm,"19,032",Port Adelaide,3.3,5.6,9.9,12.11,83,Sydney,5.2,8.4,10.6,16.9,105,149.11195,-35.24852
21,2012R0304,2012,R3,14/4/2012,26.0,11.8,0.0,Subiaco,2:40 pm,"33,473",Fremantle,1.4,4.7,6.13,8.16,64,Brisbane Lions,2.1,3.2,5.3,5.5,35,115.82576,-31.94447
22,2012R0305,2012,R3,14/4/2012,25.2,18.3,9.2,Carrara,7:40 pm,"17,069",Gold Coast,2.3,7.5,12.7,13.1,88,Essendon,5.6,7.1,10.12,15.15,105,153.35075,-28.00514
23,2012R0306,2012,R3,14/4/2012,24.8,13.1,0.0,Docklands,7:40 pm,"28,971",Western Bulldogs,1.2,1.5,2.6,5.1,40,St Kilda,4.5,6.6,13.9,15.13,103,144.94846,-37.81835
24,2012R0307,2012,R3,15/4/2012,26.9,16.0,0.0,Blacktown,1:10 pm,"6,875",Greater Western Sydney,2.0,4.1,6.5,10.9,69,West Coast,11.4,15.8,21.9,23.12,150,149.01398,-23.80119
25,2012R0308,2012,R3,15/4/2012,26.7,15.6,0.0,M.C.G.,3:15 pm,"33,524",Hawthorn,5.3,10.7,15.9,21.14,140,Adelaide,4.3,6.8,9.1,12.12,84,144.983032,-37.818439
26,2012R0309,2012,R3,15/4/2012,26.7,15.6,0.0,Docklands,4:40 pm,"29,630",North Melbourne,4.5,9.5,16.8,20.11,131,Geelong,1.3,5.8,9.14,16.18,114,144.94846,-37.81835
27,2012R0401,2012,R4,20/4/2012,22.1,11.8,2.4,Docklands,7:50 pm,"30,172",St Kilda,4.3,6.9,8.1,11.13,79,Fremantle,3.2,6.3,11.6,14.8,92,144.94846,-37.81835
28,2012R0402,2012,R4,21/4/2012,24.0,13.3,2.6,M.C.G.,1:45 pm,"73,172",Carlton,4.4,4.7,5.12,11.13,79,Essendon,3.6,8.11,12.17,15.19,109,144.983032,-37.818439
